Name,Type,1st Watch,Physical Format,Watch count,Latest Watch,Rating ?/10,Seasons,Episodes Total,Genre,Rewatch potential,Bogdan,Date W/Bogdi,Comments,Counts
Return to the Lost World,Film,05/2018,,1,05/2018,8,N/a,N/a,Adventure/Fantasy,10,No,,,
Robotboy,Series,07/2019,,1,07/2019,10,2,52,Animation/Fantasy,10,No,,"Pretty cool, nostalgic",
Room 1408,Film,08/2025,,1,08/2025,8,N/a,N/a,Horror,4,Yes,08/2025,,
Rush Hour,Film,08/2019,Blu-Ray,1,08/2019,9,N/a,N/a,Comedy,10,Yes,08/2019,,
Rush Hour 2,Film,01/2023,,1,01/2023,10,N/a,N/a,Comedy,10,Yes,01/2023,,
Rush Hour 3,Film,01/2023,,2,01/2023,10,N/a,N/a,Comedy,10,Yes,01/2023,,
Saw,Film,04/2019,Blu-Ray,1,04/2019,10,N/a,N/a,Horror/Psychologic,10,No,,,
Shazam,Film,08/2019,,1,08/2019,8,N/a,N/a,Super Heroes/Sci-Fi/Action,6,No,,,
Shrek,Film,10/2008,Blu-Ray,5,05/2023,10,N/a,N/a,Animation/Comedy,10,Yes,05/2023,,
Shrek 2,Film,10/2008,,4,05/2023,10,N/a,N/a,Animation/Comedy,10,Yes,05/2023,,
Shrek 3,Film,10/2008,,3,06/2023,9,N/a,N/a,Animation/Comedy,10,Yes,06/2023,,
Shrek Forever After,Film,06/2023,Blu-Ray,1,06/2023,10,N/a,N/a,Animation/Fantasy,10,Yes,06/2023,,
Sinister,Film,08/2025,,1,10/2025,6,N/a,N/a,Horror,0,Yes,08/2025,"I could not finish watching this, it was too scary and it properly teriffied me. Update, I wish I had not watched this -_-",
Sniper: The White Raven,Film,12/2022,,1,12/2022,10,N/a,N/a,Drama/War,10,Yes,12/2022,Slava Ukraini ,
Sonic the Hedgehog,Film,07/2020,"4K Blu-Ray, Steelbook",3,02/2025,10,N/a,N/a,Action/Fantasy/VideoGames,10,Yes,03/2022,,
Sonic the hedgehog 2 ,Film,04/2022,"4K Blu-Ray, Steelbook",3,02/2025,10,N/a,N/a,Action/Fantasy/VideoGames,10,Yes,04/2022,,
Sonic the hedgehog 3,Film,01/2025,"4K Blu-Ray, Steelbook",3,03/2025,10,N/a,N/a,Action/Fantasy/VideoGames,10,Yes,02/2025,Own twice physically,
Soul,Film,12/2021,,1,12/2021,10,N/a,N/a,Animation/Adventure/Family/Music,10,No,,,
"South Park Bigger, Longer and Uncut",Film,03/2016,DVD,2,03/2018,10,N/a,N/a,Comedy,10,No,,,
Split,Film,08/2023,,1,08/2023,4,N/a,N/a,Horror/Psychologic,0,Yes,08/2023,don't,
Spy,Film,04/2022,,1,04/2022,10,N/a,N/a,Comedy/Action,10,No,,The scary movie of spy films,
Summer Ghost,Film,06/2022,,1,06/2022,10,N/a,N/a,Anime,10,Yes,06/2022,"2021, Really cool film, amazing story",
Suzume no Tojimari,Film,04/2023,Blu-Ray,1,04/2023,10,N/a,N/a,Anime,10,No,,Seen in the cinema 😎,
Tamako Love Story,Film,03/2023,,1,03/2023,10,N/a,N/a,Anime,10,Yes,03/2023,,
Tarot,Film,08/2025,,1,08/2025,6,N/a,N/a,Horror,2,Yes,08/2025,I am never playing phasmo again 😭,
